method,anchor_class,target_class,sequence_id,time_index,difference_norm
methodA,truesmile,polite,18,19,0.6770951151847839
methodA,ambiguous,polite,18,0,0.10914735496044159
methodA,ambiguous,polite,18,1,0.11736783385276794
methodA,ambiguous,polite,18,2,0.13976463675498962
methodA,ambiguous,polite,18,3,0.1421537697315216
methodA,ambiguous,polite,18,4,0.15443271398544312
methodA,ambiguous,polite,18,5,0.34479936957359314
methodA,ambiguous,polite,18,6,0.45173317193984985
methodA,ambiguous,polite,18,7,0.44784584641456604
methodA,ambiguous,polite,18,8,0.46354803442955017
methodA,ambiguous,polite,18,9,0.5126096606254578
methodA,ambiguous,polite,18,10,0.4717237651348114
methodA,ambiguous,polite,18,11,0.5092818737030029
methodA,ambiguous,polite,18,12,0.5780647397041321
methodA,ambiguous,polite,18,13,0.5676513910293579
methodA,ambiguous,polite,18,14,0.6944913268089294
methodA,ambiguous,polite,18,15,0.6419543027877808
methodA,ambiguous,polite,18,16,0.5500825643539429
methodA,ambiguous,polite,18,17,0.5753924250602722
methodA,ambiguous,polite,18,18,0.5151485204696655
methodA,ambiguous,polite,18,19,0.5473499894142151
methodA,polite,polite,19,0,0.1084466204047203
methodA,polite,polite,19,1,0.10188733041286469
methodA,polite,polite,19,2,0.2720286250114441
methodA,polite,polite,19,3,0.3185139298439026
methodA,polite,polite,19,4,0.29207879304885864
methodA,polite,polite,19,5,0.2815887928009033
methodA,polite,polite,19,6,0.28692105412483215
methodA,polite,polite,19,7,0.41418009996414185
methodA,polite,polite,19,8,0.35867300629615784
methodA,polite,polite,19,9,0.3749931752681732
methodA,polite,polite,19,10,0.4354752004146576
methodA,polite,polite,19,11,0.5469262599945068
methodA,polite,polite,19,12,0.5427626967430115
methodA,polite,polite,19,13,0.5959623456001282
methodA,polite,polite,19,14,0.48360130190849304
methodA,polite,polite,19,15,0.45247092843055725
methodA,polite,polite,19,16,0.5190712809562683
methodA,polite,polite,19,17,0.46737438440322876
methodA,polite,polite,19,18,0.3657352030277252
methodA,polite,polite,19,19,0.4614938199520111
methodA,truesmile,polite,19,0,0.14522507786750793
methodA,truesmile,polite,19,1,0.1346687376499176
methodA,truesmile,polite,19,2,0.2986607551574707
methodA,truesmile,polite,19,3,0.3706912696361542
methodA,truesmile,polite,19,4,0.3829616606235504
methodA,truesmile,polite,19,5,0.4420340359210968
methodA,truesmile,polite,19,6,0.42177614569664
methodA,truesmile,polite,19,7,0.5451576709747314
methodA,truesmile,polite,19,8,0.5190561413764954
methodA,truesmile,polite,19,9,0.532664954662323
methodA,truesmile,polite,19,10,0.5987739562988281
methodA,truesmile,polite,19,11,0.6558355689048767
methodA,truesmile,polite,19,12,0.6660535931587219
methodA,truesmile,polite,19,13,0.7146384119987488
methodA,truesmile,polite,19,14,0.5835264325141907
methodA,truesmile,polite,19,15,0.5341466665267944
methodA,truesmile,polite,19,16,0.6172083020210266
methodA,truesmile,polite,19,17,0.551337480545044
methodA,truesmile,polite,19,18,0.41202452778816223
methodA,truesmile,polite,19,19,0.5001350045204163
methodA,ambiguous,polite,19,0,0.104896180331707
methodA,ambiguous,polite,19,1,0.10352129489183426
methodA,ambiguous,polite,19,2,0.2741315960884094
methodA,ambiguous,polite,19,3,0.3314528465270996
methodA,ambiguous,polite,19,4,0.2994041442871094
methodA,ambiguous,polite,19,5,0.3031581938266754
methodA,ambiguous,polite,19,6,0.2982029318809509
methodA,ambiguous,polite,19,7,0.4307703673839569
methodA,ambiguous,polite,19,8,0.37469854950904846
methodA,ambiguous,polite,19,9,0.39279705286026
methodA,ambiguous,polite,19,10,0.4435165524482727
methodA,ambiguous,polite,19,11,0.5232245326042175
methodA,ambiguous,polite,19,12,0.5357792973518372
methodA,ambiguous,polite,19,13,0.6050518155097961
methodA,ambiguous,polite,19,14,0.44628432393074036
methodA,ambiguous,polite,19,15,0.4122913181781769
methodA,ambiguous,polite,19,16,0.4968327581882477
methodA,ambiguous,polite,19,17,0.43546515703201294
methodA,ambiguous,polite,19,18,0.3575199246406555
methodA,ambiguous,polite,19,19,0.46064335107803345
methodA,polite,polite,2,0,0.06960387527942657
methodA,polite,polite,2,1,0.12897111475467682
methodA,polite,polite,2,2,0.2132997363805771
methodA,polite,polite,2,3,0.2872064411640167
methodA,polite,polite,2,4,0.33841004967689514
methodA,polite,polite,2,5,0.38624268770217896
methodA,polite,polite,2,6,0.4834957420825958
methodA,polite,polite,2,7,0.48740002512931824
methodA,polite,polite,2,8,0.48961248993873596
methodA,polite,polite,2,9,0.49232175946235657
methodA,polite,polite,2,10,0.5008926391601562
methodA,polite,polite,2,11,0.444246381521225
methodA,polite,polite,2,12,0.4259191155433655
methodA,polite,polite,2,13,0.37568196654319763
methodA,polite,polite,2,14,0.3900216817855835
methodA,polite,polite,2,15,0.3982884883880615
methodA,polite,polite,2,16,0.38501033186912537
methodA,polite,polite,2,17,0.382641464471817
methodA,polite,polite,2,18,0.40740588307380676
methodA,polite,polite,2,19,0.40443599224090576
methodA,truesmile,polite,2,0,0.12172680348157883
methodA,truesmile,polite,2,1,0.15680812299251556
methodA,truesmile,polite,2,2,0.2756587862968445
methodA,truesmile,polite,2,3,0.38183775544166565
methodA,truesmile,polite,2,4,0.4648670256137848
methodA,truesmile,polite,2,5,0.5430901646614075
methodA,truesmile,polite,2,6,0.6119450926780701
methodA,truesmile,polite,2,7,0.6208926439285278
methodA,truesmile,polite,2,8,0.6229568719863892
methodA,truesmile,polite,2,9,0.6551514267921448
methodA,truesmile,polite,2,10,0.6748393177986145
methodA,truesmile,polite,2,11,0.6276890635490417
methodA,truesmile,polite,2,12,0.6544868350028992
methodA,truesmile,polite,2,13,0.610588550567627
methodA,truesmile,polite,2,14,0.6159900426864624
methodA,truesmile,polite,2,15,0.6246373057365417
methodA,truesmile,polite,2,16,0.6151719093322754
methodA,truesmile,polite,2,17,0.6117979884147644
methodA,truesmile,polite,2,18,0.6096895933151245
methodA,truesmile,polite,2,19,0.6176897287368774
methodA,ambiguous,polite,2,0,0.07503810524940491
methodA,ambiguous,polite,2,1,0.13044150173664093
methodA,ambiguous,polite,2,2,0.21579954028129578
methodA,ambiguous,polite,2,3,0.2879157066345215
methodA,ambiguous,polite,2,4,0.3451709747314453
methodA,ambiguous,polite,2,5,0.4013965129852295
methodA,ambiguous,polite,2,6,0.5025801658630371
